,List of Tweets
38,"RT @BelindaJones68: WTF is with @ScottMorrisonMP today?

He's certainly in a bad mood today, more so than usual.

He's an ignorant, rude, d…"
39,RT @sipawe: This is how Nationals play politics: they want money for the drought allocated to help them keep their seats in Parliament. The…
40,RT @MarianSmedley: Barilaro urges Canberra to 'reconsider its position' on Newstart https://t.co/uLACDsCFTv via @theage An increase in News…
41,@flashpixx8 @leighsales Best we have every had. The Drought Envoy got nothing on this guy.
42,"RT @lenoretaylor: except we have the altered council doc the Tele says it was sent by Taylor's office to back up his false claims, and the…"
43,"Raining More Money? The LNP can't help themselves, they've Drained the Country of money to Buy Votes?

Nationals pu… https://t.co/prDKfOQyDw"
44,"'She has to bathe in a bucket': Top End water supplies hit critical low 
So greedy miners open up fracking. FFS… https://t.co/iz1HtDYNfK"
45,"RT @GordonRefshauge: @geeronfarming @Master4Colin There are other factors, but drought will be the common factor for all feeds currently. F…"
46,"RT @lenoretaylor: except we have the altered council doc the Tele says it was sent by Taylor's office to back up his false claims, and the…"
47,"RT @gorgeousdunny1: Labor calls for police investigation into Angus Taylor – politics live https://t.co/qG91Mphkvj?
CMP=share_btn_tw&amp;page=w…"
48,RT @brian07101: When you're Burning for us asshole think of THESE people. When you smugly say you're doing all you can re CC think of THESE…
49,"RT @BelindaJones68: WTF is with @ScottMorrisonMP today?

He's certainly in a bad mood today, more so than usual.

He's an ignorant, rude, d…"
50,"RT @lenoretaylor: except we have the altered council doc the Tele says it was sent by Taylor's office to back up his false claims, and the…"
51,RT @murpharoo: Labor will refer the Taylor/Sydney City Council matter to the NSW police within 24 hours if the government doesn't. Keep on…
52,@afsnsw @BryceDCamm @NationalFarmers Yes agree.. however long term water supply for ag production or regional commu… https://t.co/mthvaWDvFj
53,How come nobody's talking about the aborted Special Drought Envoy's Mission? How good was that? Joyce probably reco… https://t.co/v32ulUoJEz
54,RT @MGliksmanMDPhD: Labor calls for police investigation into Angus Taylor – question time live https://t.co/59jo4qcCTd Forget it. The poli…
55,"RT @BelindaJones68: WTF is with @ScottMorrisonMP today?

He's certainly in a bad mood today, more so than usual.

He's an ignorant, rude, d…"
56,"RT @gorgeousdunny1: Labor calls for police investigation into Angus Taylor – politics live https://t.co/qG91Mphkvj?
CMP=share_btn_tw&amp;page=w…"
57,RT @murpharoo: Labor will refer the Taylor/Sydney City Council matter to the NSW police within 24 hours if the government doesn't. Keep on…
58,So the drought continues. But at least the Gym session was great. 😉
59,RT @lenoretaylor: Labor calls for police investigation into Angus Taylor – politics live is keeping up with all the developments on @Guardi…
60,"RT @gorgeousdunny1: Labor calls for police investigation into Angus Taylor – politics live https://t.co/qG91Mphkvj?
CMP=share_btn_tw&amp;page=w…"
61,"RT @gorgeousdunny1: Labor calls for police investigation into Angus Taylor – politics live https://t.co/qG91Mphkvj?
CMP=share_btn_tw&amp;page=w…"
62,"RT @ItsBouquet: As we descend further down the shonky dark tunnel - here's the latest.

Angus Taylor calls Clover Moore doctored documents…"
63,"RT @ShaunCarter70: We live in arid political times: the leadership drought, from Trump to Morrison https://t.co/bGlzZe4kgT via @smh Hear he…"
64,RT @murpharoo: Labor will refer the Taylor/Sydney City Council matter to the NSW police within 24 hours if the government doesn't. Keep on…
65,"RT @SkyNewsAust: Labor senator Murray Watt says the latest Nationals' drought plan is ""not a plan to save the drought, it's a plan to save…"
66,@leighsales There's a drought minister?
67,RT @LennaLeprena: Labor calls for police investigation into Angus Taylor – politics live https://t.co/eoXupyPgEG
68,RT @nypost: More than 50 elephants starve to death in a severe Zimbabwe drought https://t.co/eXwTeiuhCK https://t.co/5blPXL0VPr
69,RT @eve_eats_apples: Lowest on the food chain in Angus' office will be out of a job in the near future. Somebody will need to take a hit fo…
70,drought 干ばつ
71,@leighsales He’s clearly doing a great job. Best drought we’ve ever seen.  How good is this..
72,RT @MGliksmanMDPhD: Labor calls for police investigation into Angus Taylor – question time live https://t.co/59jo4qcCTd Forget it. The poli…
73,"RT @renjunquotes: Renminists, the drought is over. How are you all? https://t.co/ssyOSZ8eKp"
74,RT @nellybear2167: Taylor may get busted yet ! Labor calls for police investigation into Angus Taylor – politics live | Australian politics…
75,"RT @stephaniedowric: This is devastating. We have a double drought: an absence of rain...and of #ClimateCrisis remedies. On water, the tota…"
76,RT @murpharoo: Labor will refer the Taylor/Sydney City Council matter to the NSW police within 24 hours if the government doesn't. Keep on…
77,@MikeWiseguy DC sports story of the decade might be a tough call - Caps ended the city’s lengthy championship droug… https://t.co/ltpaCz5Nvd
78,"RT @gorgeousdunny1: Labor calls for police investigation into Angus Taylor – politics live https://t.co/qG91Mphkvj?
CMP=share_btn_tw&amp;page=w…"
79,"RT @BelindaJones68: The PM @ScottMorrisonMP wants all official acknowledgements to include ADF veterans in addition to traditional owners,…"
80,"@leighsales About time he was allowed to blame Labor, greens, reds &amp; Mabo for creating this expensive drought!… https://t.co/4ZAvb0glFV"
81,"RT @terrimbutler: The Morrison Government’s drought and water security credibility is in tatters.

There appears to be no start date, no co…"
82,RT @murpharoo: Labor will refer the Taylor/Sydney City Council matter to the NSW police within 24 hours if the government doesn't. Keep on…
83,RT @lukehgomes: Labor calls for police investigation into Angus Taylor – question time live https://t.co/uBqoB9EIJp
84,@QandA @abc730 the drought is the result . what are you going to do about climate change and the oil/coal barons fi… https://t.co/u3eeKytmC0
85,"Roblox Traders When Roblox Releases a new limited after the long drought 

 https://t.co/1J03vu34gi"
86,"RT @Reuters: With around 173 square miles of mangroves lost due to deforestation and drought on the Senegalese coast, former Minister of En…"
87,"RT @JeffMNeale: Now this character is actually enjoying the drought! 
Great big barrel of spikes. Beautiful #Cactus at #MtCootthaBotanicGar…"
88,@leighsales I cannot believe we have a specific minister for drought.
89,RT @murpharoo: Labor will refer the Taylor/Sydney City Council matter to the NSW police within 24 hours if the government doesn't. Keep on…
90,"RT @SkyNewsAust: Labor senator Murray Watt says the latest Nationals' drought plan is ""not a plan to save the drought, it's a plan to save…"
91,RT @murpharoo: Labor will refer the Taylor/Sydney City Council matter to the NSW police within 24 hours if the government doesn't. Keep on…
92,"RT @SpheDludla: Guys, we think we have it bad with Eskom here at home, but my friend in Lusaka tells me it's been two months of having 15hr…"
93,"RT @lenoretaylor: except we have the altered council doc the Tele says it was sent by Taylor's office to back up his false claims, and the…"
94,"RT @13camel: As @AmyRemeikis has noted, @AngusTaylorMP has some serious questions to answer, in the face of strong evidence.
Labor calls fo…"
95,RT @ananymouus: We might be in drought season for whole group activities but we are not in drought in terms of INFINITE contents. 2022 migh…
96,"RT @SkyNewsAust: Labor senator Murray Watt says the latest Nationals' drought plan is ""not a plan to save the drought, it's a plan to save…"
97,RT @LennaLeprena: Labor calls for police investigation into Angus Taylor – politics live https://t.co/eoXupyPgEG
98,"RT @lenoretaylor: except we have the altered council doc the Tele says it was sent by Taylor's office to back up his false claims, and the…"
99,"RT @lenoretaylor: except we have the altered council doc the Tele says it was sent by Taylor's office to back up his false claims, and the…"
100,RT @nellybear2167: Taylor may get busted yet ! Labor calls for police investigation into Angus Taylor – politics live | Australian politics…
101,"RT @SkyNewsAust: Shadow Defence Minister Richard Marles says the government's strategy to deal with the ongoing drought is ""all smoke and m…"
102,RT @murpharoo: Labor will refer the Taylor/Sydney City Council matter to the NSW police within 24 hours if the government doesn't. Keep on…
103,"RT @SkyNewsAust: Member for Kingsford Smith Matt Thistlethwaite has taken a swipe at the Morrison Government for its drought action, descri…"
104,"RT @lenoretaylor: except we have the altered council doc the Tele says it was sent by Taylor's office to back up his false claims, and the…"
105,"RT @AgForceQLD: 30,000+ farmers are expected to be able to access new FHA measures, after an independent review led by AgForce pres @Georgi…"
106,"RT @lenoretaylor: except we have the altered council doc the Tele says it was sent by Taylor's office to back up his false claims, and the…"
107,"RT @ianinindo1: @bairdjulia @AnthonyCole68 Making life particularly harsh, for the great unwashed in Australia is the LNP/Nat manifesto:

R…"
108,"Are there weeks where you remember many dreams, and others where they seem to fade altogether? Have you ever had a… https://t.co/RBhWVR07tH"
109,RT @holyoun: The drought is killing me show yourself seungyounah 😣 https://t.co/F46C8Li5WM
110,RT @murpharoo: Labor will refer the Taylor/Sydney City Council matter to the NSW police within 24 hours if the government doesn't. Keep on…
111,"RT @TheTodayShow: ""For goodness sake, why can’t we all sit down and put the national interest first, and come up with a coordinated, compre…"
112,"me, a baby army who is yoongi biased: so is this the drought yoongi biased armys faced back then?"
113,"@leighsales He's doing a terrific jib! Look at the drought, it's a beauty!"
114,@SkyNewsAust The LNP and nationals are a joke. They make farmers problems worse . They gave them a nothing burger.… https://t.co/srQGjisbeh
115,"Did I just read where Labor want the PM to put a stop to the drought. Scomo might have a close link to God, but I d… https://t.co/AVMaVPvdyh"
116,"RT @LeadershipNGA: 55 Elephants Die From Starvation, Drought In Zimbabwe https://t.co/gX0e4AChPf https://t.co/xIE0qbhTlF"
117,@Zendaya post a selfie already. we’re hungry for some content. end this fucking drought
118,RT @LennaLeprena: Labor calls for police investigation into Angus Taylor – politics live https://t.co/eoXupyPgEG
119,I did not lose any more confidence in the @Our_DA after all these resignations. I lost it when they used the drough… https://t.co/XeHKSGc6tp
120,"RT @MomentaryReview: Over 100 elephants die in Botswana due to drought, anthrax outbreak https://t.co/fUlLB0CL6F"
121,RT @holyoun: The drought is killing me show yourself seungyounah 😣 https://t.co/F46C8Li5WM
122,"RT @TheAusInstitute: Caving into coal industry would be “absolute hypocrisy"" while there was ""much hand-wringing, prayers and crocodile tea…"
123,"RT @kissybobohu: Everything Baekhyun touches turns into gold. Debuted with EXO and made history breaking a 12 year drought, with CBX became…"
124,Taylor may get busted yet ! Labor calls for police investigation into Angus Taylor – politics live | Australian pol… https://t.co/AkprDpzIpr
125,"RT @Triburos: But you know, I like to give DE a hard time and I know we're in Content Drought 8: The-Sequel-to-the-Prequel-of-the-Sequel's-…"
126,"How are the smallest ozone hole in decades, drought and fire danger connected? https://t.co/o0BmTqHSNJ"
127,RT @Qldaah: Looks like Angus Taylor is going to be referred to the NSW police. Serious crime forgery. #auspol https://t.co/kWoRbCVjdA https…
128,"RT @kissybobohu: Everything Baekhyun touches turns into gold. Debuted with EXO and made history breaking a 12 year drought, with CBX became…"
129,@afsnsw @BryceDCamm @NationalFarmers Maybe not after this drought Fiona..!! Dams and water transportation should fo… https://t.co/sZwbklEWnk
130,RT @Qldaah: Call the cops. Angus Taylor not accepting that the document was falsified. #auspol https://t.co/kWoRbCVjdA https://t.co/EVqWb1a…
131,"RT @kissybobohu: Everything Baekhyun touches turns into gold. Debuted with EXO and made history breaking a 12 year drought, with CBX became…"
132,RT @lenoretaylor: Labor calls for police investigation into Angus Taylor – politics live is keeping up with all the developments on @Guardi…
133,RT @murpharoo: Labor will refer the Taylor/Sydney City Council matter to the NSW police within 24 hours if the government doesn't. Keep on…
134,Old but relevant - Scientists at Rio 20 are promoting the use of forests for influencing rainfall and adapting to c… https://t.co/1ZZ4otEtwe
135,"RT @BelindaJones68: WTF is with @ScottMorrisonMP today?

He's certainly in a bad mood today, more so than usual.

He's an ignorant, rude, d…"
136,"Ons Boere het jou hulp nodig
Our farmers need your help
Devestating drought... farmers attacks and a government who… https://t.co/H015summAB"
137,"RT @BelindaJones68: The PM @ScottMorrisonMP wants all official acknowledgements to include ADF veterans in addition to traditional owners,…"
138,"RT @SkyNewsAust: Member for Kingsford Smith Matt Thistlethwaite has taken a swipe at the Morrison Government for its drought action, descri…"
139,@DAIROCKETTO People also seem to forget that P5 was first announced in 2013 iirc and there also was an insane droug… https://t.co/OItMCuHlqM
140,@leighsales Is Drought the objective of his office?
141,RT @holyoun: The drought is killing me show yourself seungyounah 😣 https://t.co/F46C8Li5WM
142,RT @Lovelyyme__: Y’all out here playing games w good people like it ain’t a drought on loyalty
143,"Member for Kingsford Smith Matt Thistlethwaite has taken a swipe at the Morrison Government for its drought action,… https://t.co/b4VtZG0xyn"
144,Nationals push for $1.3bn in drought relief to help party keep seats in next election https://t.co/dCt6qsDFGc
145,"Ongoing dry conditions in the Murray–Darling Basin and the Sydney catchment area
 https://t.co/6ZZFNh8PWH https://t.co/eK7bD4OM75"
146,"RT @gorgeousdunny1: Labor calls for police investigation into Angus Taylor – politics live https://t.co/qG91Mphkvj?
CMP=share_btn_tw&amp;page=w…"
147,RT @brian07101: When you're Burning for us asshole think of THESE people. When you smugly say you're doing all you can re CC think of THESE…
148,"RT @kissybobohu: Everything Baekhyun touches turns into gold. Debuted with EXO and made history breaking a 12 year drought, with CBX became…"
149,RT @nypost: More than 50 elephants starve to death in a severe Zimbabwe drought https://t.co/eXwTeiuhCK https://t.co/5blPXL0VPr
150,RT @murpharoo: Labor will refer the Taylor/Sydney City Council matter to the NSW police within 24 hours if the government doesn't. Keep on…
151,@taegicorn dont worry its jus a short drought it'll end soon 😞
152,"""If we get a second bad year, where are we going to be at?"" The community bore in Southport is expected to run dry… https://t.co/GBmUDO1RNe"
153,"RT @BelindaJones68: The PM @ScottMorrisonMP wants all official acknowledgements to include ADF veterans in addition to traditional owners,…"
154,RT @leighsales: My guest tonight is the Minister for Drought David Littleproud #abc730
155,RT @lenoretaylor: Labor calls for police investigation into Angus Taylor – politics live is keeping up with all the developments on @Guardi…
156,RT @murpharoo: Labor will refer the Taylor/Sydney City Council matter to the NSW police within 24 hours if the government doesn't. Keep on…
157,RT @murpharoo: Labor will refer the Taylor/Sydney City Council matter to the NSW police within 24 hours if the government doesn't. Keep on…
158,"RT @gorgeousdunny1: Labor calls for police investigation into Angus Taylor – politics live https://t.co/qG91Mphkvj?
CMP=share_btn_tw&amp;page=w…"
159,"RT @lenoretaylor: except we have the altered council doc the Tele says it was sent by Taylor's office to back up his false claims, and the…"
160,RT @murpharoo: Parliament's intelligence committee says the government's identity sharing bill should not be passed. Bit of an upset. Tune…
161,RT @GuardianAus: #BREAKING: Labor calls for police investigation into whether Angus Taylor committed a crime in relation to altered documen…
162,RT @MarianSmedley: Barilaro urges Canberra to 'reconsider its position' on Newstart https://t.co/uLACDsCFTv via @theage An increase in News…
163,"RT @lenoretaylor: except we have the altered council doc the Tele says it was sent by Taylor's office to back up his false claims, and the…"
164,RT @lenoretaylor: Labor calls for police investigation into Angus Taylor – politics live is keeping up with all the developments on @Guardi…
165,RT @EcoWatch: The unprecedented drought that has caused a water crisis in #Zimbabwe has now claimed the life of at least 55 #elephants sinc…
166,"RT @gorgeousdunny1: Labor calls for police investigation into Angus Taylor – politics live https://t.co/qG91Mphkvj?
CMP=share_btn_tw&amp;page=w…"
167,RT @murpharoo: Labor will refer the Taylor/Sydney City Council matter to the NSW police within 24 hours if the government doesn't. Keep on…
168,RT @DavidMaynier: Western Cape pledges R50m drought relief for farmers https://t.co/QqtqeLCYgH via @News24
169,RT @nypost: More than 50 elephants starve to death in a severe Zimbabwe drought https://t.co/eXwTeiuhCK https://t.co/5blPXL0VPr
170,Labor calls for police investigation into Angus Taylor – politics live https://t.co/Pmpd3DBmYH
171,"RT @TheAusInstitute: Caving into coal industry would be “absolute hypocrisy"" while there was ""much hand-wringing, prayers and crocodile tea…"
172,"@geeronfarming @Master4Colin There are other factors, but drought will be the common factor for all feeds currently… https://t.co/wGrwDbKTbf"
173,Labor calls for police investigation into Angus Taylor – politics live https://t.co/D7UODOxmJh
174,"RT @laura_jepson: #ClimateChange isn't just driving #drought in #Somalia. The Indian Ocean Dipole spells #flood danger for East Africa
""A l…"
175,RT @lenoretaylor: Labor calls for police investigation into Angus Taylor – politics live is keeping up with all the developments on @Guardi…
176,RT @nypost: More than 50 elephants starve to death in a severe Zimbabwe drought https://t.co/eXwTeiuhCK https://t.co/5blPXL0VPr
177,"RT @tongsupp: drought, shortage ความแห้งแล้ง, การขาดแคลน"
178,@attomeybharti And in marathwada drought issue is serious and last time people gave vote on basis of modi
179,god we’ve had a pop girl DROUGHT for the past 3 years... theyre finally gonna dominate the charts again 😭😭 oh pleas… https://t.co/bqEJI3oKgM
180,"RT @kissybobohu: Everything Baekhyun touches turns into gold. Debuted with EXO and made history breaking a 12 year drought, with CBX became…"
181,"RT @BelindaJones68: WTF is with @ScottMorrisonMP today?

He's certainly in a bad mood today, more so than usual.

He's an ignorant, rude, d…"
182,Thought it was a drought 🤔 ☔️
183,RT @MGliksmanMDPhD: Labor calls for police investigation into Angus Taylor – question time live https://t.co/59jo4qcCTd Forget it. The poli…
184,RT @SpaceKidette: Anyone else think that this sudden interest in the drought is nothing more than NATS pork barrelling. I mean there isn't…
185,RT @lenoretaylor: Labor calls for police investigation into Angus Taylor – politics live is keeping up with all the developments on @Guardi…
186,RT @nypost: More than 50 elephants starve to death in a severe Zimbabwe drought https://t.co/eXwTeiuhCK https://t.co/5blPXL0VPr
187,RT @ohsodua: selena really said to us im gonna fix the last 4 years music drought for my fans in 24 hours
188,"""My first question: is it possible you've misunderstood what it means to be a Minister FOR Drought?"" https://t.co/4V9bLMEHnX"
189,"RT @gorgeousdunny1: Labor calls for police investigation into Angus Taylor – politics live https://t.co/qG91Mphkvj?
CMP=share_btn_tw&amp;page=w…"
190,RT @murpharoo: Labor will refer the Taylor/Sydney City Council matter to the NSW police within 24 hours if the government doesn't. Keep on…
191,"RT @gorgeousdunny1: Labor calls for police investigation into Angus Taylor – politics live https://t.co/qG91Mphkvj?
CMP=share_btn_tw&amp;page=w…"
192,"RT @kissybobohu: Everything Baekhyun touches turns into gold. Debuted with EXO and made history breaking a 12 year drought, with CBX became…"
193,#SomaliCashConsortium activates its emergency shock funding for the fourth time this year responding to displacemen… https://t.co/BMasF2KBKC
194,RT @leighsales: My guest tonight is the Minister for Drought David Littleproud #abc730
195,RT @holyoun: The drought is killing me show yourself seungyounah 😣 https://t.co/F46C8Li5WM
196,Anyone else think that this sudden interest in the drought is nothing more than NATS pork barrelling. I mean there… https://t.co/Q5zBa6T1U9
197,"RT @weatherchannel: Heavy rain will bring more drought relief to the South, but may also trigger flooding: https://t.co/x9lx8NHFpV https://…"
198,RT @Qldaah: Looks like Angus Taylor is going to be referred to the NSW police. Serious crime forgery. #auspol https://t.co/kWoRbCVjdA https…
199,RT @Qldaah: Call the cops. Angus Taylor not accepting that the document was falsified. #auspol https://t.co/kWoRbCVjdA https://t.co/EVqWb1a…
200,"RT @BelindaJones68: WTF is with @ScottMorrisonMP today?

He's certainly in a bad mood today, more so than usual.

He's an ignorant, rude, d…"
201,RT @GuardianAus: #BREAKING: Labor calls for police investigation into whether Angus Taylor committed a crime in relation to altered documen…
202,"RT @gburton: We (well, @WrenHouseBrew with @azcentral cheering them on) made beer with 100% recycled water and locally sourced drought tole…"
203,RT @murpharoo: Labor will refer the Taylor/Sydney City Council matter to the NSW police within 24 hours if the government doesn't. Keep on…
204,"RT @comzaza: @ali_naka As we reflect, there is very little to celebrate. We have gone from bad to worse. We are led by visionless leaders.…"
205,The drought funding package was an absolute farce ! https://t.co/5tZMasPe4a
206,Johnny drought
207,RT @MGliksmanMDPhD: Labor calls for police investigation into Angus Taylor – question time live https://t.co/59jo4qcCTd Forget it. The poli…
208,RT @Qldaah: Looks like Angus Taylor is going to be referred to the NSW police. Serious crime forgery. #auspol https://t.co/kWoRbCVjdA https…
209,Plenty of @abclandline viewers will be interested in Drought Minister @D_LittleproudMP has to say. https://t.co/L2dYodRLZw
210,"RT @daveyk317: Angus Taylor sent fraudulent doctored documents to #TheDailyTellYaCrap to back up his lies....

#auspol
#abcnews24
@abcnews…"
211,RT @QualeLee: Stack up that money none of my niggas will see a drought
212,"RT @APAZimbabwe: @xandatoto Some advice for ZanuPF 
1. Enter the post struggle world. Stop seeing enemies everywhere 
2. Embrace change, no…"
213,@leighsales What drought?
214,"If Barcaldine is in drought and the council has surplus cash, why Aren’t they using this money to drought proof the area?"
215,"RT @BelindaJones68: WTF is with @ScottMorrisonMP today?

He's certainly in a bad mood today, more so than usual.

He's an ignorant, rude, d…"
216,"RT @lenoretaylor: except we have the altered council doc the Tele says it was sent by Taylor's office to back up his false claims, and the…"
217,Barilaro urges Canberra to 'reconsider its position' on Newstart https://t.co/uLACDsCFTv via @theage An increase in… https://t.co/J9KITXKxSz
218,RT @LennaLeprena: Labor calls for police investigation into Angus Taylor – politics live https://t.co/eoXupyPgEG
219,RT @gpaddymanning: Some rational analysis fwiw -&gt; Farmers expose the pointless unreality of drought politicking https://t.co/yNe5eaGBHb
220,"Labor calls for police investigation into Angus Taylor – politics live https://t.co/qG91Mphkvj?
CMP=share_btn_tw&amp;pa… https://t.co/fQGpy0oCO0"
221,RT @riktheozfrog: @TheTurul @Akarnious @MillyMolly300 @Stratma30803775 @Turdface70 @Darren78516546 @Deefadog4me @StayTrueBlue @BillDobell @…
222,RT @murpharoo: Labor will refer the Taylor/Sydney City Council matter to the NSW police within 24 hours if the government doesn't. Keep on…
223,"RT @iMusing: Morrison is announcing $480 million for a dam at Dungowan in New England, held by Barnaby Joyce; and $650 million to upgrade W…"
224,RT @LennaLeprena: Labor calls for police investigation into Angus Taylor – politics live https://t.co/eoXupyPgEG
225,"ongoing ecocide of earths freshwater biodiversity continues at an astounding rate, and humans don't even know how t… https://t.co/8jxKI2KGt8"
226,"RT @TheAusInstitute: Caving into coal industry would be “absolute hypocrisy"" while there was ""much hand-wringing, prayers and crocodile tea…"
227,My guest tonight is the Minister for Drought David Littleproud #abc730
228,"RT @SuhasJoshiR: Great meeting with Dr. Vilas Tonapi, Director,  Indian Institute of Millet Research (IIMR) and Dr. Dayakar Rao,  CEO Nutri…"
229,"@alrayner302 Out of interest, what would you say general farmer consensus is on that drought will end, VS this is the new norm?"
230,RT @murpharoo: Labor will refer the Taylor/Sydney City Council matter to the NSW police within 24 hours if the government doesn't. Keep on…
231,Looks like Angus Taylor is going to be referred to the NSW police. Serious crime forgery. #auspol… https://t.co/S2VSPLDF3t
232,RT @fitzhunter: We all pray the PM doesn’t have too much reason to regret rejecting Labor’s offer of a joint approach to drought support ht…
233,RT @LennaLeprena: Labor calls for police investigation into Angus Taylor – politics live https://t.co/eoXupyPgEG
234,RT @lenoretaylor: Labor calls for police investigation into Angus Taylor – politics live is keeping up with all the developments on @Guardi…
235,"RT @BarcaTimes: 📰[AS] | Suárez fails to end four-year curse in Prague.

🔶Suarez had hoped to channel his current goal-scoring momentum to b…"
236,"RT @CloverMoore: People elect governments to lead for all of us, not bow to vested and powerful interests for short term private gain. At a…"
237,"RT @lenoretaylor: except we have the altered council doc the Tele says it was sent by Taylor's office to back up his false claims, and the…"
238,RT @murpharoo: Labor will refer the Taylor/Sydney City Council matter to the NSW police within 24 hours if the government doesn't. Keep on…
239,RT @ivan2meyer: I am pleased to announce that the @WesternCapeGov and the Minister of Finance have today approved immediate emergency droug…
240,RT @murpharoo: Labor will refer the Taylor/Sydney City Council matter to the NSW police within 24 hours if the government doesn't. Keep on…
241,"RT @AgForceQLD: 30,000+ farmers are expected to be able to access new FHA measures, after an independent review led by AgForce pres @Georgi…"
242,RT @MiyaCoding: This imaginary rivalry between Mamelodi Sundowns and Kaizer Chiefs is similar to the one between Serena and Sharapova. Just…
243,"RT @terrimbutler: The Morrison Government’s drought and water security credibility is in tatters.

There appears to be no start date, no co…"
244,RT @shawmilasart: shawmila drought day 31 https://t.co/cuQtAlQ0KD
245,"The bars Wayne and Lz spit on the original ""I cant feel my face"" from Drought 2 are still unmatched"
246,RT @holyoun: The drought is killing me show yourself seungyounah 😣 https://t.co/F46C8Li5WM
247,#Australia had built #Bradfield water scheme years ago water running out to sea would be running through our river… https://t.co/1asJxJQ4mw
