,List of Tweets
35,@MikeWiseguy DC sports story of the decade might be a tough call - Caps ended the city’s lengthy championship droug… https://t.co/ltpaCz5Nvd
36,"@leighsales About time he was allowed to blame Labor, greens, reds &amp; Mabo for creating this expensive drought!… https://t.co/4ZAvb0glFV"
37,@QandA @abc730 the drought is the result . what are you going to do about climate change and the oil/coal barons fi… https://t.co/u3eeKytmC0
38,"Roblox Traders When Roblox Releases a new limited after the long drought 

 https://t.co/1J03vu34gi"
39,@leighsales I cannot believe we have a specific minister for drought.
40,"Are there weeks where you remember many dreams, and others where they seem to fade altogether? Have you ever had a… https://t.co/RBhWVR07tH"
41,"me, a baby army who is yoongi biased: so is this the drought yoongi biased armys faced back then?"
42,"@leighsales He's doing a terrific jib! Look at the drought, it's a beauty!"
43,@SkyNewsAust The LNP and nationals are a joke. They make farmers problems worse . They gave them a nothing burger.… https://t.co/srQGjisbeh
44,"Did I just read where Labor want the PM to put a stop to the drought. Scomo might have a close link to God, but I d… https://t.co/AVMaVPvdyh"
45,@Zendaya post a selfie already. we’re hungry for some content. end this fucking drought
46,I did not lose any more confidence in the @Our_DA after all these resignations. I lost it when they used the drough… https://t.co/XeHKSGc6tp
47,"How are the smallest ozone hole in decades, drought and fire danger connected? https://t.co/o0BmTqHSNJ"
48,@afsnsw @BryceDCamm @NationalFarmers Maybe not after this drought Fiona..!! Dams and water transportation should fo… https://t.co/sZwbklEWnk
49,Old but relevant - Scientists at Rio 20 are promoting the use of forests for influencing rainfall and adapting to c… https://t.co/1ZZ4otEtwe
50,"Ons Boere het jou hulp nodig
Our farmers need your help
Devestating drought... farmers attacks and a government who… https://t.co/H015summAB"
51,@DAIROCKETTO People also seem to forget that P5 was first announced in 2013 iirc and there also was an insane droug… https://t.co/OItMCuHlqM
52,@leighsales Is Drought the objective of his office?
53,Nationals push for $1.3bn in drought relief to help party keep seats in next election https://t.co/dCt6qsDFGc
54,"Ongoing dry conditions in the Murray–Darling Basin and the Sydney catchment area
 https://t.co/6ZZFNh8PWH https://t.co/eK7bD4OM75"
55,@taegicorn dont worry its jus a short drought it'll end soon 😞
56,"""If we get a second bad year, where are we going to be at?"" The community bore in Southport is expected to run dry… https://t.co/GBmUDO1RNe"
57,Labor calls for police investigation into Angus Taylor – politics live https://t.co/Pmpd3DBmYH
58,Labor calls for police investigation into Angus Taylor – politics live https://t.co/D7UODOxmJh
59,@attomeybharti And in marathwada drought issue is serious and last time people gave vote on basis of modi
60,god we’ve had a pop girl DROUGHT for the past 3 years... theyre finally gonna dominate the charts again 😭😭 oh pleas… https://t.co/bqEJI3oKgM
61,Thought it was a drought 🤔 ☔️
62,The drought funding package was an absolute farce ! https://t.co/5tZMasPe4a
63,Johnny drought
64,Plenty of @abclandline viewers will be interested in Drought Minister @D_LittleproudMP has to say. https://t.co/L2dYodRLZw
65,RT @QualeLee: Stack up that money none of my niggas will see a drought
66,@leighsales What drought?
67,"If Barcaldine is in drought and the council has surplus cash, why Aren’t they using this money to drought proof the area?"
68,"ongoing ecocide of earths freshwater biodiversity continues at an astounding rate, and humans don't even know how t… https://t.co/8jxKI2KGt8"
69,"@alrayner302 Out of interest, what would you say general farmer consensus is on that drought will end, VS this is the new norm?"
70,"The bars Wayne and Lz spit on the original ""I cant feel my face"" from Drought 2 are still unmatched"
71,#Australia had built #Bradfield water scheme years ago water running out to sea would be running through our river… https://t.co/1asJxJQ4mw
72,"In Zamboanga, Philippines presenting on drought management.  The Philippines is now experiencing a El Niño that req… https://t.co/0gnTrpzIt4"
73,"2nd time in a week this has happened in a drought affected town.  It’s hard enough to do business as it is, but whe… https://t.co/NtvyQ5bojb"
74,Goal 13 urges us to tackle climate change &amp; its impacts. If we don't take action now we will see a rise in extreme… https://t.co/ZM2vPAt5BE
75,"@ComedianJonas @olgordon Put the hose on them. Oh, drought."
76,@NovemberQueen_ @boyce677 The problem is we Have been too comfortable with the water levels we’ve had not paying at… https://t.co/pEghSzwQIK
77,My paternal grandparents used to live near Woodstock in the town surrounded by woodlands. I remember there was a re… https://t.co/mflTbhSaQF
78,@shtastyD the drought was the very worst
79,@BryceDCamm @NationalFarmers When is it that some part of the country is not in drought though?
80,"Two weeks into the #B2WALD drought and the forest is showing signs, but still doing quite well. https://t.co/BEqbe5Ti00"
81,@boyce677 @NovemberQueen_ I’m glad you’ve raised this issue. What will happen if we experience drought for the next… https://t.co/NATkWiV3LA
82,can y'all remember when he only had this thread to survive the major drought https://t.co/qxOppTi1xa
83,Nationals push for $1.3bn in drought relief to help party keep seats in next election https://t.co/2v8b5faB6j
84,"Given that L has yet to enlist, it's going to be a long ass drought until INFT is back together as whole... Just th… https://t.co/TSCYAiT44F"
85,There is $5.8 billion in farm management deposit scheme accounts meant to be used to prop up farmers in droughts. T… https://t.co/PUL4XZxm5M
86,https://t.co/J6fyvBGFFr
87,@beytingz love drought
88,@IamAlphonzo Now I am even starting to think that we are not their rivals because they are competing at having the… https://t.co/A9iixvRM03
89,Cool graphic. Go ahead and add a minimum couple hundred more to the current drought. https://t.co/RtNqFbROKr
90,@nathanhondros @WAtoday well when @The_Nationals make themselves invisible to the voters by   being dictated to by… https://t.co/VAvEQwYUTn
91,@Bernard_BKabwe @NovemberQueen_ The power banks that we have in this country can provide power to the whole country… https://t.co/rkkI1VUmo2
92,"selenation how are we feeling about the lead single, the surprise song, n the insta live dropping in less than 24 h… https://t.co/vrl1zlIknv"
93,Govt’s drought plan is nothing but a ‘blunt fiscal instrument’: https://t.co/L1PkhkcDxq #auspol #australiapm
94,"@imexoloverr yes, sabay sabay nating tiisin lahat ng drought nato"
95,Thirst turns to anger as Australia's mighty river runs dry | Article [AMP] | Reuters https://t.co/J7Rn4WSHk2
96,DR-20191024-70001-PAK - Drought - Pakistan - Asia https://t.co/lqxAS7iUss - One-third of the cotton crop has been d… https://t.co/mWzd6weKvj
97,"It looks like
#WashingtonNationals 
Are finally going to win their first championship. The drought is over"
98,"How are the smallest ozone hole in decades, drought and fire danger connected? https://t.co/qP0CeJ2y99"
99,r we all just inSuch a chenle drought that   we r becoming him...
100,@Medu14AFC @sidramatics Pepe is not not the player we were expecting when he started playing. Now we all know he ne… https://t.co/4BhUngxW7W
101,Suarez has Inter away left to get rid of this drought before Barcelona boots his ass out of the club in the summer.… https://t.co/S9gzhKNdac
102,@NCTsmtown_127 post MORE I MISS YOU IM GOING THRU A JROUGHT (jaehyun drought) PLEASE
103,@transparency_a1 Releasing 13% of hydro power means we can charge EV cars even in a drought year.....
104,aint postin no drank on the internet n i drink that shit when tha drought come
105,"@timelessCarter ||I was there during the drought, but now like you said, it's poppin."
106,FINALLY THE DROUGHT IS DONE. HE IS ALIVE. https://t.co/PJnxSI6ts9
107,"@NikolovScience Ned, you stole my theory about Earth being only 1/3 the size it is today during the Cretaceous!   T… https://t.co/WXBwrd9CW5"
108,@ShowTimeSzn23 @KobeTakes Washed like Kobe? LMFAO the Lakers 6 years playoff drought was started by who again? 😂😂😂
109,"From Heat Waves to Hurricanes: What We Know About Extreme Weather and #ClimateChange https://t.co/fKx5QrPg9G
Linked https://t.co/LVtmXfLaM7"
110,Wineries on the Granite Belt have teamed up to help others impacted by the drought. https://t.co/aHfOacHVaI
111,"Fun actual #fact, a mature tree absorbs more #CO2 than a young growing tree.  So stop bulldozing old growth forests… https://t.co/OXzj2SDeoA"
112,"長引く干ばつが収穫にひどい被害をもたらした。
The prolonged drought did severe damage to the crops. (235)"
113,"Air pollution? What? No, we're opening more coal mines, we like more black lungs, mega drought &amp; climate deaths. Di… https://t.co/QBTEUWv2Do"
114,"'We've got to keep the shops open': Drought-hit towns anxiously await Federal economic stim…
Farmers experience dro… https://t.co/9tcvtMldY9"
115,SUBAEKCHEN SINGING ALONG TO DANGER SDKJHGDF IM REALLY GOING THRU IT I HATE THIS EXOTAN DROUGHT
116,@HHichilema Sad that even on a memorable day for freedom fighters you still want to politicise the occasion! For yo… https://t.co/ljxs1smmeQ
117,"@ScottMorrisonMP Mr Prime Minister,
Instead of reading lies on social media, how about you do something about schoo… https://t.co/hI5pS1Cp63"
118,@globetrotter1_ I don’t think Russians will export teff to #Ethiopia jk. African countries with recurrent famine &amp;… https://t.co/cyAfDr7f6G
119,"How are the smallest ozone hole in decades, drought and fire danger connected? https://t.co/NKlypPs0CU via @ABCNews"
120,@dea_blake @BeattieNgiare @tom_cowie I believe that's the plan.. it's not because if hay fever sufferers that they… https://t.co/e8aEetr7uR
121,"How are the smallest ozone hole in decades, drought and fire danger connected? https://t.co/Bum147GSyg"
122,"""Communities like Pitt Town Water in western Sydney, Huntlee and Cooranbong in the Hunter, and Barangaroo and Green… https://t.co/b0KChKLzem"
123,"@CreightonAg @tonymahar @BryceDCamm @NationalFarmers Lastly, our suggestions for this current drought reflected the… https://t.co/WlyPXgV7PE"
124,#buyfromthebush calls on city consumers to keep small-town shops open during drought https://t.co/g4IzfsiARE via @abcnews what a great idea!
125,Unusually Strong Positive Indian Ocean Dipole (IOD) Weather Phenomenon Triggers Severe Droughts in Australia and In… https://t.co/J9l5kbGgmX
126,"Pakistan at Thu, 24 Oct 2019 04:52:43 +0000 | #Drought event has been observed in State of Sindh, Pakistan | https://t.co/gO1QHI81vw"
127,13 year playoff drought and a 30 piece on opneing night is sickening https://t.co/OckJ9Gz2iw
128,"""'Sometimes people feel that they’re looking down a never-ending tunnel at the moment because we don’t know when th… https://t.co/0c58RT2Gwi"
129,@Reuters It’s amazing how we have cycles of drought and rain.
130,"When this drought end, imma go crazy. Probably really try to break her back. Maybe not literally but that mf gone p… https://t.co/zlCqRsR4b5"
131,@CreightonAg @tonymahar @BryceDCamm @NationalFarmers We also recommended that we start collecting evidence so we’re… https://t.co/pahoRtTXFX
132,Whew I was trynna rock out on a year drought but I can’t do it 😂 my hormones racing
133,@WilliamScherer3 @BrettNoble4 Wow. Wild year. Drought here began in #July. No rain at all in #September. Rain on… https://t.co/w6KBzpoH4b
134,Lmao aye if the Rockets &amp; UofH lose tomorrow night... then the city will officially be in a drought
135,Nationals are driving drought relief policies hard: Joyce - AM - ABC Radio https://t.co/WaNvkNdghs via @skinnergj
136,"Waiting for you is like waiting for rain in this drought, useless and disappointing"
137,"@CreightonAg @tonymahar @BryceDCamm @NationalFarmers Well actually no, we recommended that Gov consider it as well… https://t.co/Hpodh6sJnU"
138,the jw badbtch tag is my coping mechanism like i cannot stand this drought im sensitive n weak and im soooo worried
139,day 865 in the drought: cucumber?
140,"@BOM_Qld Can we place orders for cooler weather with you guys?

We've already seen a report of someone making rain… https://t.co/Vg1E17a2eM"
141,"Nats seek $1.3 billion drought cash. Every council in drought zone to get $10 million cash injection #LGA 
https://t.co/mtxGc4rgyc"
142,In E-News - thinking and praying for those effected locally by drought or overseas by flood; pray for the 28 men at… https://t.co/B8B9w4xxzz
143,good to see the pork barreling in action ..even no drought affected areas given money for sitting coalition members… https://t.co/X6VTAR3iOK
144,"If you followed the cues of environmentalists, vegans, and a few others, you'd have to stop eating to allow animals… https://t.co/LIm2QscJl5"
145,Dis finna be me at my mcm door. Dick drought is real https://t.co/veChe0zA5R
146,"@AnnastaciaMP We are not leading the way in unemployment, infrastructure, drought assistance nor a commonsense appr… https://t.co/u2oFnmwC8N"
147,@FAO @youthrise4agric ... challenge for zero hunger for every year need help  foods from nature disaster/earthquake… https://t.co/coxDkeKEwQ
148,The Dilly Drought Drive needs your help; to support Macarthur's farmers. https://t.co/a309Wjbowy
149,Wasn’t prepared for a drought. Damn. Cut off the supply and all..
150,"How are the smallest ozone hole in decades, drought and fire danger connected? Sudden stratospheric warming — it's… https://t.co/MLQUgz0H7p"
151,More pork barrelling!! Perish the thought that assistance should be on the basis of greatest need rather than reten… https://t.co/iFIwBDjWuI
152,"The latest from the ABC Darwin: How are the smallest ozone hole in decades, drought and fire danger connected?… https://t.co/l4whZJkk84"
153,@cheonsaebong SAME NANG. Drought ang jc nation these past weeks 😭😭👀👀
154,Thirst turns to anger as Australia's mighty river runs dry - Reuters https://t.co/fXYCQpIUX0
155,@JaredStillman have the Titans finally resolved a 15 year wide receivers drought. GM had issues drafting or signing… https://t.co/puJS1Ymrr2
156,@CarmichaelDave Playoff drought won’t end. Ever.
157,Nationals MPs 'live in the regions and actually feel the drought' https://t.co/sU6b8drE3f
158,Thirst turns to anger as Australia's mighty river runs dry https://t.co/zypseWXoma https://t.co/NPihrTcAQJ
159,Darwin residents fear for future water security as underground aquifers run critically low - ABC News (Australian B… https://t.co/owNM8j22ae
160,@akstadnyk @ibew_sparky @DianeMariePosts @ryderfm @sugarsugar03 I want environmental policies too. A tax on CO2 whe… https://t.co/O0v3A7iAkm
161,Don't risk poisoning your stock #checkthetest for Nitrate. Dont buy hay unless you have a feed test. Critically imp… https://t.co/TYTeBtlOSh
162,Selena is overwhelming me. The drought has been lifted https://t.co/GlKN0S3VGH
163,"@fitzhunter Promotes the use of coal and then claims we need to do more for the farmers. Which is it Joel?

There i… https://t.co/8Yvr34CjV1"
164,Live concert in seoul = the time we were drought w haechan content so yea im fine
165,"@SKamhunga My God! This is a humanitarian crisis. Zesco wants to import 300MW of electricity from Eskom, Eskom appa… https://t.co/BKbh2guy9I"
166,@EnRouteAnfield He’s always going to be judged on that 1st season forever.. it’s just the way it is I’m afraid. Sha… https://t.co/59ZDMW47tH
167,"So we havent made the playoffs in 9 years..

Itd be nice to break that drought

#RisePHX"
168,thought there was a drought 👿🍬
169,Africa develops financial tools to become drought-resilient https://t.co/A6y9u5s6hf
170,"Yep, thats the Gov'ts aim, get rid of all those
pesky rural people that are hard to control.
Not to mention being a… https://t.co/demgYNs5S1"
171,@NaomKemunto5 Drought over here in Kajiado South.  Dust storms.
172,the drought is doing things to tom stans https://t.co/6X4RPgf7l7
173,Govt’s drought plan is nothing but a ‘blunt fiscal instrument’ https://t.co/8j1h28R9gG
174,@straycherryy sis hyunjin stans are lit rally goin thru drought season rn
175,@australian No money for drought though 😢
176,This is just a tweet to say that Western Australia is in drought too. I know NSW and QLD are in dire straights but… https://t.co/8KlVGxSSCx
177,Labor calls for police investigation into Angus Taylor – question time live https://t.co/GNyxHsP9w8
178,Even in the drought I’ll give that bxtxh my last
179,"@Christo17009273 @thabangsekgobel It's not you talking, it's 5 seasons of drought 🤣😂😂#Sundowns https://t.co/IsQGOmr1XF"
180,"2014- @BJP4Maharashtra won 122 out of 288 seats. Promised to create 24,000 million cubic feet of water storage to t… https://t.co/w3SzGdxhIO"
181,might fuck around &amp; stan selena like i did during the pop girl drought of 2015 when revival dropped https://t.co/JpdA76af8q
182,"LISTEN: @michellegrattan chats with Deputy PM Michael McCormack about #auspol, dairy, drought and Pauline Hanson.… https://t.co/MTqGnyrWRJ"
183,Winter Break bout to be his own personal drought
184,https://t.co/c0hOJJRsIj
185,https://t.co/tt3GJMwobI
186,"How low can you go? #auspol
Labor calls for police investigation into Angus Taylor – question time live https://t.co/bXz5HwlYcp"
187,"@abcnews drought now, flood soon!"
188,"@CAgyemfra @ABC A long time nonetheless. An end to a long championship drought is always good, just like when the C… https://t.co/m1vNdLD2Fa"
189,"@Primal57 @vtwogamers Natural desert

So rather than growing them in a wet coast enviroment (norcal) theyre grown i… https://t.co/AghXnrVOoJ"
190,@abc730 @LauraFrancis9 Sick to death of hearing about the drought I hope it farrking rains soon. 70% of Australia i… https://t.co/m6Jm6P06RD
191,@InnesKay Who ever fines these legend trick drives for overstacking food for animals during the drought should be h… https://t.co/kB3SQrdJah
192,"@reBELLYus this shit is like a drought, i’m in need of some more music like right now 😂😭🤦🏼‍♂️ https://t.co/gSYQ7aFhjZ"
193,SO dacre never went to the award ceremony huh ? hee hee hoo hoo i’m going to fucking k*ll myself in this drought
194,https://t.co/kGeteiWgrO
,List of Tweets
